"","Offense","Seattle_neighborhoods"
"79541","Shoplifting","BALLARD SOUTH"
"79542","Shoplifting","BALLARD SOUTH"
"79591","Shoplifting","BALLARD SOUTH"
"80302","Shoplifting","BALLARD SOUTH"
"80323","Shoplifting","BALLARD SOUTH"
"82117","Shoplifting","BALLARD SOUTH"
"96927","Shoplifting","BALLARD SOUTH"
"97002","Shoplifting","BALLARD SOUTH"
"97082","Shoplifting","BALLARD SOUTH"
"97343","Shoplifting","BALLARD SOUTH"
"97429","Shoplifting","BALLARD SOUTH"
"97606","Shoplifting","BALLARD SOUTH"
"97921","Shoplifting","BALLARD SOUTH"
"160038","Shoplifting","BALLARD SOUTH"
"160041","Shoplifting","BALLARD SOUTH"
"160045","Shoplifting","BALLARD SOUTH"
"160115","Shoplifting","BALLARD SOUTH"
"176717","Shoplifting","BALLARD SOUTH"
